message,selected_messages,sentiment
houstatlantavegas sooner than later nov th a night off successful  over and over for the last  hours  heavennn,houstatlantavegas sooner later nov th night successful last hours heavennn,positive
 i look forward to that if u ever write  things a misanthrope must do to be at peace w humanity im up for that as well,look forward u ever write things misanthrope must peace w humanity im well,positive
is at work,work,neutral
 in rural thailand  is considered posh,rural thailand considered posh,neutral
 i feel your pain man people say its really good but i dont have the money to waste on a ps,feel pain man people say really good dont money waste ps,neutral
im really full and i feel sick,im really full feel sick,negative
 happy mothers day to ms pat carey,happy mothers day ms pat carey,positive
just got home from another wonderful night,got home another wonderful night,positive
celebrating the fact that norwich city got relegated yesterday  seems like myself and the awfully nice mr fry are football rivals,celebrating fact norwich city got relegated yesterday seems like awfully nice mr fry football rivals,negative
needs water paper towels and coke from the store but feels too sick to go get it,needs water paper towels coke store feels sick go get,negative
more beans on toast for breakie gotta clean my room and study for final cisco exam then watch lost  cant wait,beans toast breakie got ta clean room study final cisco exam watch lost cant wait,neutral
 i accidently dropped it  now the screen is all messed,accidently dropped screen messed,negative
is wondering if my ankle will ever stop hurting,wondering ankle ever stop hurting,negative
work today,work today,neutral
 sigh  how are you,sigh,negative
go to school  reviens  h,go school reviens h,neutral
ah good idea library seems to work  thats why im not there obviously,ah good idea library seems work thats im obviously,positive
 hehee yea its supposed to sound mean hahhaa,hehee yea supposed sound mean hahhaa,negative
 correction facetious not sarcastic apologies  oh and happy mothers day,correction facetious sarcastic apologies oh happy mothers day,neutral
dashboard  modest mouse first modest mouse blip oyay not bad   httpblipfmz,dashboard modest mouse first modest mouse blip oyay bad httpblipfmz,positive
  im only telling the truth you know you have skills,im telling truth know skills,positive
 ill be back on it later today got plenty of gold but willing to help you out if you need anything at all,ill back later today got plenty gold willing help need anything,neutral
 besides when u come and visit ill have more room for u,besides u come visit ill room u,neutral
 yeah i checked it pretty nice site,yeah checked pretty nice site,positive
 thats what i tell everyone their food is the worst no one understands my horror,thats tell everyone food worst one understands horror,negative
my beautiful lil cousin  is going to prom todaysad  i cant be therebut i know shes gonna look beautiful as always,beautiful lil cousin going prom todaysad cant therebut know shes gon na look beautiful always,neutral
 omg its the famous amanda woman person thingy  hugs all around,omg famous amanda woman person thingy hugs around,positive
about to go on  hour journey home,go hour journey home,neutral
gonna get off to try and catch some zs no more high school after tomorrow which really sucks  i wish i didn httptinyurlcomlkag,gon na get try catch zs high school tomorrow really sucks wish httptinyurlcomlkag,negative
 where you ladies off to,ladies,neutral
 shoping till you drop davidhahaenjoy your day,shoping till drop davidhahaenjoy day,positive
_club wished i could have been there last night sounds like it was rocking cant wait to see pix or vids,_club wished could last night sounds like rocking cant wait see pix vids,positive
off to dinner with   his fam,dinner fam,positive
i will stumble i will fall down but i will not be moved  ,stumble fall moved,neutral
sitting in traffic while my car gets rained on just washed it on sunday doesnt the weather know this is california,sitting traffic car gets rained washed sunday doesnt weather know california,negative
im at my saddest right now i lost my mobile phone earphones waz feels a little incomplete and i feel the same,im saddest right lost mobile phone earphones waz feels little incomplete feel,negative
omg i have so many finals to study for  i so freaked out that im gona fail,omg many finals study freaked im gona fail,negative
 you obviously havent seen my mrs first thing in a morning,obviously havent seen mrs first thing morning,neutral
  thats sucky well miss you being on,thats sucky well miss,negative
cant sleep again been up for ages,cant sleep ages,neutral
tryin to figure all this out lol,tryin figure lol,neutral
 i selected  people today out of my list out of  or so i picked the  that made me laugh,selected people today list picked made laugh,neutral
  looks like the nap will have to wait im still waiting on the poor guy,looks like nap wait im still waiting poor guy,neutral
happy mamas day ladies  have a good day,happy mamas day ladies good day,positive
last time in the drama room,last time drama room,neutral
is house bound with acute mumps  bad times whole day ov supernatural me thinks  x,house bound acute mumps bad times whole day ov supernatural thinks x,negative
  is there anything brian or i can do,anything brian,neutral
going to  for lunch today with  whos in i still need to hit the atm,going lunch today whos still need hit atm,neutral
 ill check that out,ill check,neutral
says morning  httpplurkcompxap,says morning httpplurkcompxap,neutral
hi  found you through  i am indeed a pigment of your imagination,hi found indeed pigment imagination,neutral
 yeah im not really feeling it either of course i dont like the movie line i wish that we were getting more animated,yeah im really feeling either course dont like movie line wish getting animated,negative
